"id","question_number","question_text","quiz_id"
7,1,"Have sufficient time for your
personal or home life",2
8,2,"Have a boss (direct superior)
you can respect",2
9,3,"Get recognition for good performance",2
10,4,"Have security of employment",2
11,5,"Have pleasant people to work with",2
12,6,"Do work that is interesting",2
13,7,"Be consulted by your boss
in decisions involving your work",2
14,8,"Live in a desirable area",2
15,9,"Have a job respected by your
family and friends",2
16,10,"Have chances for promotion",2
17,11,"Keeping time free for fun",2
18,12,"Moderation: having few desires",2
19,13,"Doing a service to a friend",2
20,14,"Thrift (not spending more than needed)",2
21,15,"How often do you feel nervous or tense?",2
22,16,"Are you a happy person ?",2
23,17,"Do other people or circumstances ever prevent you from doing what you really want to?",2
24,18,"All in all, how would you describe your state of health these days?",2
25,19,"How proud are you to be a citizen of your country?",2
26,20,"How often, in your experience, are subordinates afraid to contradict their boss (or
students their teacher?)",2
27,21,"One can be a good manager
without having a precise answer to
every question that a subordinate
may raise about his or her work",2
28,22,"Persistent efforts are the
surest way to results",2
29,23,"An organization structure in
which certain subordinates have two
bosses should be avoided at all cost",2
30,24,"A company's or organization's
rules should not be broken -
not even when the employee
thinks breaking the rule would be
in the organization's best interest",2